strain	taxonomyId	accession	isRef	level	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	ucscBrowser	genBank	refSeq	geneModelUrl
MINIMUS1	112268	GCA_000349025.1	True	Scaffold		201793324	678.0	10313149.0	6.0	211.0x	42.5			Anopheles minimus	112268	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,59140,59144,93949,112268	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles minimus		https://genome.ucsc.edu/h/GCA_000349025.1	GCA_000349025.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/349/025/GCA_000349025.1/genes/GCA_000349025.1_Anop_mini_MINIMUS1_V1.augustus.gtf.gz
Emoy2	559515	GCA_000173235.2	True	Scaffold		78380535	3108.0	332402.0	70.0	9.5x	47.0			Hyaloperonospora arabidopsidis	272952	1,131567,2759,2698737,33634,4762,4776,4777,184462,272952,559515	Oomycota	Eukaryota			Oomycota		Peronosporales	Peronosporaceae	Hyaloperonospora	Hyaloperonospora arabidopsidis	Hyaloperonospora arabidopsidis Emoy2	https://genome.ucsc.edu/h/GCA_000173235.2	GCA_000173235.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/173/235/GCA_000173235.2/genes/GCA_000173235.2_HyaAraEmoy2_2.0.augustus.gtf.gz
epiroticus2	199890	GCA_000349105.1	True	Scaffold		223486714	2673.0	366526.0	157.0	49.0x	44.0			Anopheles epiroticus	199890	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44537,199889,199890	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles epiroticus		https://genome.ucsc.edu/h/GCA_000349105.1	GCA_000349105.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/349/105/GCA_000349105.1/genes/GCA_000349105.1_Anop_epir_epiroticus2_V1.augustus.gtf.gz
ATCC 38327	578462	GCA_000151295.1	True	Scaffold		57060573	101.0	1114524.0	17.0	7.3x	61.5			Allomyces macrogynus	28583	1,131567,2759,33154,4751,112252,451459,451460,4805,4806,28581,28583,578462		Eukaryota		Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	Allomyces macrogynus	Allomyces macrogynus ATCC 38327	https://genome.ucsc.edu/h/GCA_000151295.1	GCA_000151295.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/295/GCA_000151295.1/genes/GCA_000151295.1_A_macrogynus_V3.augustus.gtf.gz
BRL 01	1037528	GCA_000447185.1	True	Scaffold		8569501	554.0	24319.0	90.0	27.0x	19.0			Vairimorpha apis	35231	1,131567,2759,33154,4751,112252,6029,6032,27974,6038,35231,1037528	Microsporidia	Eukaryota		Fungi	Microsporidia			Nosematidae	Vairimorpha	Vairimorpha apis	Vairimorpha apis BRL 01	https://genome.ucsc.edu/h/GCA_000447185.1	GCA_000447185.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/447/185/GCA_000447185.1/genes/GCA_000447185.1_NapisBRLv01.augustus.gtf.gz
	72359	GCA_000316135.1	True	Scaffold		8498182	310.0	50307.0	46.0	32.5x	34.0			Trachipleistophora hominis	72359	1,131567,2759,33154,4751,112252,6029,6036,35232,72358,72359	Microsporidia	Eukaryota		Fungi	Microsporidia			Pleistophoridae	Trachipleistophora	Trachipleistophora hominis		https://genome.ucsc.edu/h/GCA_000316135.1	GCA_000316135.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/316/135/GCA_000316135.1/genes/GCA_000316135.1_ASM31613v1.augustus.gtf.gz
ACHKN1017	43041	GCA_000349165.1	True	Scaffold		172658580	30369.0	9057.0	5048.0	35.0x	42.5			Anopheles christyi	43041	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44537,43041	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles christyi		https://genome.ucsc.edu/h/GCA_000349165.1	GCA_000349165.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/349/165/GCA_000349165.1/genes/GCA_000349165.1_Anop_chri_ACHKN1017_V1.augustus.gtf.gz
USNM 41457	1003232	GCA_000230595.3	True	Scaffold		51348006	1429.0	433670.0	35.0	20.0x	22.5			Edhazardia aedis	70536	1,131567,2759,33154,4751,112252,6029,469895,322152,70535,70536,1003232	Microsporidia	Eukaryota		Fungi	Microsporidia			Culicosporidae	Edhazardia	Edhazardia aedis	Edhazardia aedis USNM 41457	https://genome.ucsc.edu/h/GCA_000230595.3	GCA_000230595.3		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/230/595/GCA_000230595.3/genes/GCA_000230595.3_Edha_aedis_V4b.augustus.gtf.gz
CBS 127.97	559882	GCA_000151175.1	True	Scaffold		24132127	123.0	397011.0	22.0		47.5			Trichophyton equinum	63418	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,34384,5550,63418,559882	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton equinum	Trichophyton equinum CBS 127.97	https://genome.ucsc.edu/h/GCA_000151175.1	GCA_000151175.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/151/175/GCA_000151175.1/genes/GCA_000151175.1_ASM15117v1.augustus.gtf.gz
DAOM BR444	1223555	GCA_000387445.2	True	Scaffold		35876849	1774.0	37384.0	270.0	30.0x	54.0			Pythium aphanidermatum	65070	1,131567,2759,2698737,33634,4762,121069,4782,4797,65070,1223555	Oomycota	Eukaryota			Oomycota		Pythiales	Pythiaceae	Pythium	Pythium aphanidermatum	Pythium aphanidermatum DAOM BR444	https://genome.ucsc.edu/h/GCA_000387445.2	GCA_000387445.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/387/445/GCA_000387445.2/genes/GCA_000387445.2_pag1_scaffolds_v1.augustus.gtf.gz
PRA339	1288291	GCA_000385875.2	True	Scaffold		12163397	431.0	71704.0	36.0	73.0x	23.5			Anncaliia algerae	723287	1,131567,2759,33154,4751,112252,6029,2072739,307623,311453,723287,1288291	Microsporidia	Eukaryota		Fungi	Microsporidia			Tubulinosematidae	Anncaliia	Anncaliia algerae	Anncaliia algerae PRA339	https://genome.ucsc.edu/h/GCA_000385875.2	GCA_000385875.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/385/875/GCA_000385875.2/genes/GCA_000385875.2_Annc_alge_insect_USDA_JJB_V2.augustus.gtf.gz
ATCC 12531	1223556	GCA_000387505.2	True	Scaffold		44672625	10972.0	9784.0	1195.0	70.0x	57.0			Pythium arrhenomanes	82932	1,131567,2759,2698737,33634,4762,121069,4782,4797,82932,1223556	Oomycota	Eukaryota			Oomycota		Pythiales	Pythiaceae	Pythium	Pythium arrhenomanes	Pythium arrhenomanes ATCC 12531	https://genome.ucsc.edu/h/GCA_000387505.2	GCA_000387505.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/387/505/GCA_000387505.2/genes/GCA_000387505.2_par_scaffolds_v1.augustus.gtf.gz
LEM452	40285	GCA_000443025.1	True	Scaffold		31398648	492.0	379527.0	27.0	140.0x	60.0			Leishmania gerbilli	40285	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,40285	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania gerbilli		https://genome.ucsc.edu/h/GCA_000443025.1	GCA_000443025.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/443/025/GCA_000443025.1/genes/GCA_000443025.1_Leishmania_gerbilii_LEM452-1.0.2.augustus.gtf.gz
LEM423	62297	GCA_000441995.1	True	Scaffold		32320007	336.0	397299.0	25.0	108.0x	60.0			Leishmania turanica	62297	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,62297	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania turanica		https://genome.ucsc.edu/h/GCA_000441995.1	GCA_000441995.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/441/995/GCA_000441995.1/genes/GCA_000441995.1_Leishmania_turanica_LEM423-1.0.2.augustus.gtf.gz
JR2	1202531	GCA_000400815.2	False	Complete Genome	8.0	36150287	8.0	4168633.0	4.0	200.0x	54.0			Verticillium dahliae	27337	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,1028384,1033978,1036719,27337,1202531	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium dahliae	Verticillium dahliae JR2	https://genome.ucsc.edu/h/GCA_000400815.2	GCA_000400815.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/400/815/GCA_000400815.2/genes/GCA_000400815.2_VDAG_JR2v.4.0.augustus.gtf.gz
WO-1	294748	GCA_000149445.2	False	Chromosome	8.0	14417669	16.0	1768732.0	3.0		33.5			Candida albicans	5476	1,131567,2759,33154,4751,451864,4890,716545,147537,3239874,2916678,766764,1535325,5475,5476,294748	Ascomycota	Eukaryota		Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida albicans	Candida albicans WO-1	https://genome.ucsc.edu/h/GCA_000149445.2	GCA_000149445.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/445/GCA_000149445.2/genes/GCA_000149445.2_ASM14944v2.augustus.gtf.gz
MHOM/BR/75/M2903	1295825	GCA_000340355.2	False	Chromosome	35.0	35210150	744.0	1030512.0	11.0	72.0x	58.0			Leishmania braziliensis	5660	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,37616,37617,5660,1295825	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania braziliensis	Leishmania braziliensis MHOM/BR/75/M2903	https://genome.ucsc.edu/h/GCA_000340355.2	GCA_000340355.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/340/355/GCA_000340355.2/genes/GCA_000340355.2_Leishmania_braziliensis_M2903-1.0.6.augustus.gtf.gz
ALBI9_A	7167	GCA_000349125.2	False	Chromosome	5.0	173339239	236.0	9735467.0	5.0	95.0x	49.0			Anopheles albimanus	7167	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44543,44544,44547,7167	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles albimanus		https://genome.ucsc.edu/h/GCA_000349125.2	GCA_000349125.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/349/125/GCA_000349125.2/genes/GCA_000349125.2_Anop_albi_ALBI9_A_V2.augustus.gtf.gz
	999809	GCA_000230245.1	False	Chromosome	23.0	18386378	44.0	772363.0	7.0		60.0			Sporisorium reilianum	72558	1,131567,2759,33154,4751,451864,5204,452284,5257,5267,5268,63265,72558,999809	Basidiomycota	Eukaryota		Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Sporisorium	Sporisorium reilianum	Sporisorium reilianum SRZ2	https://genome.ucsc.edu/h/GCA_000230245.1	GCA_000230245.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/230/245/GCA_000230245.1/genes/GCA_000230245.1_ASM23024v1.augustus.gtf.gz
LEM3045	5663	GCA_000410755.2	False	Chromosome	36.0	30761861	495.0	868233.0	11.0	50.0x	59.0			Leishmania enriettii	5663	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,2249475,5663	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania enriettii		https://genome.ucsc.edu/h/GCA_000410755.2	GCA_000410755.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/410/755/GCA_000410755.2/genes/GCA_000410755.2_Leishmania_enrietti_LEM3045-1.0.2.augustus.gtf.gz
L147	1206056	GCA_000444285.2	False	Chromosome	36.0	31630816	160.0	1001864.0	11.0	110.0x	60.0			Leishmania aethiopica	5667	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,38568,38570,5667,1206056	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania aethiopica	Leishmania aethiopica L147	https://genome.ucsc.edu/h/GCA_000444285.2	GCA_000444285.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/444/285/GCA_000444285.2/genes/GCA_000444285.2_Leishmania_aethiopica-L147-2.0.3.augustus.gtf.gz
LEM2494	1303197	GCA_000409445.2	False	Chromosome	36.0	30813970	251.0	873628.0	11.0	236.0x	59.5			Leishmania sp. MAR LEM2494	1303197	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,40283,1303197	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania sp. MAR LEM2494		https://genome.ucsc.edu/h/GCA_000409445.2	GCA_000409445.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/409/445/GCA_000409445.2/genes/GCA_000409445.2_Leishmania_MAR_LEM2494-1.0.3.augustus.gtf.gz
CAST	943122	GCA_000256705.2	False	Scaffold	1.0	64894722	2661.0	2645890.0	8.0	74.2x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,943122	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii		https://genome.ucsc.edu/h/GCA_000256705.2	GCA_000256705.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/256/705/GCA_000256705.2/genes/GCA_000256705.2_TGCAST_v2.augustus.gtf.gz
RMSCC 2394	404692	GCA_000149895.1	False	Scaffold		28816906	23.0	3573598.0	4.0		46.0			Coccidioides immitis	5501	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,33183,33184,5500,5501,404692	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Coccidioides	Coccidioides immitis	Coccidioides immitis RMSCC 2394	https://genome.ucsc.edu/h/GCA_000149895.1	GCA_000149895.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/895/GCA_000149895.1/genes/GCA_000149895.1_ASM14989v1.augustus.gtf.gz
ERTm2	1913371	GCA_000250695.1	False	Scaffold		4700711	202.0	733311.0	3.0	65.0x	38.5			Nematocida ausubeli	1913371	1,131567,2759,33154,4751,112252,6029,469895,586132,1913371	Microsporidia	Eukaryota		Fungi	Microsporidia				Nematocida	Nematocida ausubeli		https://genome.ucsc.edu/h/GCA_000250695.1	GCA_000250695.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/250/695/GCA_000250695.1/genes/GCA_000250695.1_Nema_parisii_ERTm2_V1.augustus.gtf.gz
Fo47	660027	GCA_000271705.2	False	Scaffold		49664628	124.0	3844136.0	5.0	138.0x	47.5			Fusarium oxysporum	5507	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,171631,5507,660027	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum	Fusarium oxysporum Fo47	https://genome.ucsc.edu/h/GCA_000271705.2	GCA_000271705.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/271/705/GCA_000271705.2/genes/GCA_000271705.2_FO_Fo47_V1.augustus.gtf.gz
race 1	1229664	GCA_000350345.1	False	Scaffold		47657417	1341.0	653140.0	20.0	83.0x	48.0			Fusarium oxysporum	5507	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,171631,5507,61366,1229664	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum	Fusarium oxysporum f. sp. cubense race 1	https://genome.ucsc.edu/h/GCA_000350345.1	GCA_000350345.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/350/345/GCA_000350345.1/genes/GCA_000350345.1_Foc1_1.0.augustus.gtf.gz
26406	1089452	GCA_000260495.2	False	Scaffold		54034280	1146.0	2206590.0	7.0	157.0x	47.5			Fusarium oxysporum	5507	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,171631,5507,61369,1089452	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum	Fusarium oxysporum f. sp. melonis 26406	https://genome.ucsc.edu/h/GCA_000260495.2	GCA_000260495.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/260/495/GCA_000260495.2/genes/GCA_000260495.2_FO_melonis_V1.augustus.gtf.gz
A1163	451804	GCA_000150145.1	False	Scaffold		29205420	55.0	3791214.0	4.0		49.5			Aspergillus fumigatus	746128	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,2720872,746128,451804	Ascomycota	Eukaryota		Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fumigatus	Aspergillus fumigatus A1163	https://genome.ucsc.edu/h/GCA_000150145.1	GCA_000150145.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/145/GCA_000150145.1/genes/GCA_000150145.1_ASM15014v1.augustus.gtf.gz
GT1	507601	GCA_000149715.2	False	Scaffold		65040897	1601.0	2734372.0	7.0	67.4x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,507601	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii GT1	https://genome.ucsc.edu/h/GCA_000149715.2	GCA_000149715.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/149/715/GCA_000149715.2/genes/GCA_000149715.2_TGGT1.augustus.gtf.gz
VEG	432359	GCA_000150015.2	False	Scaffold		64472073	1340.0	3773819.0	7.0	77.4x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,398031,432359	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii VEG	https://genome.ucsc.edu/h/GCA_000150015.2	GCA_000150015.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/150/015/GCA_000150015.2/genes/GCA_000150015.2_TGVEG.augustus.gtf.gz
VAND	933077	GCA_000224845.2	False	Scaffold		64242836	2137.0	1731858.0	13.0		52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,933077	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii VAND	https://genome.ucsc.edu/h/GCA_000224845.2	GCA_000224845.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/224/845/GCA_000224845.2/genes/GCA_000224845.2_TGVAND_v2.augustus.gtf.gz
GAB2-2007-GAL-DOM2	1130820	GCA_000325525.2	False	Scaffold		63536202	2481.0	1734886.0	12.0	98.9x	52.5			Toxoplasma gondii	5811	1,131567,2759,2698737,33630,5794,1280412,5796,75739,423054,5809,5810,5811,1130820	Apicomplexa	Eukaryota			Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	Toxoplasma gondii GAB2-2007-GAL-DOM2	https://genome.ucsc.edu/h/GCA_000325525.2	GCA_000325525.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/325/525/GCA_000325525.2/genes/GCA_000325525.2_TGGABGALDOM2_v2.1.augustus.gtf.gz
