Organism	Genome Source	Genome Version/Assembly ID	Is Reference Strain	Contigs	Supercontigs	Chromosomes	Species	Strain	VEuPathDB Project	taxId	asmId	genBank	refSeq	identical	sciName	comName	ucscBrowser	geneModelUrl
Fusarium oxysporum f. sp. melonis 26406	GenBank	GCA_000260495.2	no	0	1146	0	Fusarium oxysporum	f. sp. melonis 26406	FungiDB	1089452	GCA_000260495.2_FO_melonis_V1	GCA_000260495.2		False	Fusarium oxysporum f. sp. melonis 26406	ascomycetes F.oxysporum f. sp. melonis (26406 2014)	https://genome.ucsc.edu/h/GCA_000260495.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/260/495/GCA_000260495.2/genes/GCA_000260495.2_FO_melonis_V1.augustus.gtf.gz
Phytophthora sojae strain P6497	GenBank	GCA_000149755.2	yes	0	82	0	Phytophthora sojae	strain P6497	FungiDB	67593	GCF_000149755.1_P.sojae_V3.0	GCA_000149755.2	GCF_000149755.1	True	Phytophthora sojae	downy mildews (P6497 2011)	https://genome.ucsc.edu/h/GCF_000149755.1	
Taphrina deformans PYCC 5710	INSDC	GCA_000312925.2	yes	0	394	0	Taphrina deformans	PYCC 5710	FungiDB	1097556	GCA_000312925.2_ASM31292v2	GCA_000312925.2		False	Taphrina deformans PYCC 5710	peach leaf curl fungus (PYCC 5710 2013)	https://genome.ucsc.edu/h/GCA_000312925.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/312/925/GCA_000312925.2/genes/GCA_000312925.2_ASM31292v2.augustus.gtf.gz
Claviceps purpurea 20.1	INSDC	GCA_000347355.1	yes	0	191	0	Claviceps purpurea	20.1	FungiDB	1111077	GCA_000347355.1_ASM34735v1	GCA_000347355.1		False	Claviceps purpurea 20.1	ergot fungus (20.1 2012)	https://genome.ucsc.edu/h/GCA_000347355.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/347/355/GCA_000347355.1/genes/GCA_000347355.1_ASM34735v1.augustus.gtf.gz
Plasmodium cynomolgi strain B	GenBank	GCA_000321355.1	no	0	1649	14	Plasmodium cynomolgi	strain B	PlasmoDB	1120755	GCF_000321355.1_PcynB_1.0	GCA_000321355.1	GCF_000321355.1	True	Plasmodium cynomolgi strain B	apicomplexans P.cynomolgi strain (B 2012)	https://genome.ucsc.edu/h/GCF_000321355.1	
Macrophomina phaseolina MS6	INSDC	GCA_000302655.1	yes	0	1506	0	Macrophomina phaseolina	MS6	FungiDB	1126212	GCA_000302655.1_MphMS6_1.0	GCA_000302655.1		False	Macrophomina phaseolina MS6	charcoal rot (MS6 2012)	https://genome.ucsc.edu/h/GCA_000302655.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/302/655/GCA_000302655.1/genes/GCA_000302655.1_MphMS6_1.0.augustus.gtf.gz
Toxoplasma gondii GAB2-2007-GAL-DOM2	GenBank	GCA_000325525.2	no	0	2481	0	Toxoplasma gondii	GAB2-2007-GAL-DOM2	ToxoDB	1130820	GCA_000325525.2_TGGABGALDOM2_v2.1	GCA_000325525.2		False	Toxoplasma gondii GAB2-2007-GAL-DOM2	apicomplexans T.gondii (GAB2-2007-GAL-DOM2 2014)	https://genome.ucsc.edu/h/GCA_000325525.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/325/525/GCA_000325525.2/genes/GCA_000325525.2_TGGABGALDOM2_v2.1.augustus.gtf.gz
Toxoplasma gondii TgCatPRC2	GenBank	GCA_000256725.2	no	0	3060	0	Toxoplasma gondii	TgCatPRC2	ToxoDB	1130821	GCA_000256725.2_TGCATPRC2_v2	GCA_000256725.2		False	Toxoplasma gondii TgCatPRC2	apicomplexans T.gondii (TgCatPRC2 2016)	https://genome.ucsc.edu/h/GCA_000256725.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/256/725/GCA_000256725.2/genes/GCA_000256725.2_TGCATPRC2_v2.augustus.gtf.gz
Babesia microti strain RI	GenBank	GCA_000691945.2	yes	0	0	4	Babesia microti	strain RI	PiroplasmaDB	1133968	GCF_000691945.2_ASM69194v2	GCA_000691945.2	GCF_000691945.2	False	Babesia microti strain RI	apicomplexans B.microti strain (RI 2015)	https://genome.ucsc.edu/h/GCF_000691945.2	
Pleurotus ostreatus PC15	INSDC	GCA_000697685.1	yes	0	12	0	Pleurotus ostreatus	PC15	FungiDB	1137138	GCA_000697685.1_PleosPC15_2	GCA_000697685.1		False	Pleurotus ostreatus PC15	oyster mushroom (PC15 2014)	https://genome.ucsc.edu/h/GCA_000697685.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/697/685/GCA_000697685.1/genes/GCA_000697685.1_PleosPC15_2.augustus.gtf.gz
Pleurotus ostreatus PC9	INSDC	GCF_014466165.1	no	0	16	0	Pleurotus ostreatus	PC9	FungiDB	5322	GCF_014466165.1_ASM1446616v1	GCA_014466165.1	GCF_014466165.1	False	Pleurotus ostreatus	oyster mushroom	https://genome.ucsc.edu/h/GCF_014466165.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/014/466/165/GCF_014466165.1/genes/GCF_014466165.1_ASM1446616v1.ncbiRefSeq.gtf.gz
Aspergillus luchuensis CBS 106.47	GenBank	GCA_001890685.1	yes	0	100	0	Aspergillus luchuensis	CBS 106.47	FungiDB	1137211	GCA_001890685.1_Aspfo1	GCA_001890685.1		False	Aspergillus luchuensis CBS 106.47	ascomycetes A.luchuensis (CBS 106.47 2016)	https://genome.ucsc.edu/h/GCA_001890685.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/890/685/GCA_001890685.1/genes/GCA_001890685.1_Aspfo1.augustus.gtf.gz
Anncaliia algerae Undeen	GenBank	GCA_000313815.1	no	8427	0	0	Anncaliia algerae	Undeen	MicrosporidiaDB	723287	GCA_000313815.1_ASM31381v1	GCA_000313815.1		False	Anncaliia algerae	microsporidians A.algerae (Undeen 2012)	https://genome.ucsc.edu/h/GCA_000313815.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/313/815/GCA_000313815.1/genes/GCA_000313815.1_ASM31381v1.augustus.gtf.gz
Saprolegnia diclina VS20	GenBank	GCA_000281045.1	yes	0	390	0	Saprolegnia diclina	VS20	FungiDB	1156394	GCF_000281045.1_Sap_diclina_VS20_V1	GCA_000281045.1	GCF_000281045.1	True	Saprolegnia diclina VS20	oomycetes (VS20 2013)	https://genome.ucsc.edu/h/GCF_000281045.1	
Hortaea werneckii EXF-2000	INSDC	GCA_002127715.1	yes	0	628	0	Hortaea werneckii	EXF-2000	FungiDB	1157616	GCA_002127715.1_HwerPB1	GCA_002127715.1		False	Hortaea werneckii EXF-2000	ascomycetes H.werneckii (EXF-2000 2017)	https://genome.ucsc.edu/h/GCA_002127715.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/002/127/715/GCA_002127715.1/genes/GCA_002127715.1_HwerPB1.augustus.gtf.gz
Aspergillus glaucus CBS 516.65	GenBank	GCA_001890805.1	yes	0	82	0	Aspergillus glaucus	CBS 516.65	FungiDB	1160497	GCF_001890805.1_Aspgl1	GCA_001890805.1	GCF_001890805.1	True	Aspergillus glaucus CBS 516.65	ascomycetes A.glaucus CBS 516.65	https://genome.ucsc.edu/h/GCF_001890805.1	
Chromera velia CCMP2878	GenBank	GCA_018398765.1	yes	0	5963	0	Chromera velia	CCMP2878	CryptoDB	1169474	GCA_018398765.1_ASM1839876v1	GCA_018398765.1		False	Chromera velia CCMP2878	C.velia (CCMP2878 2021)	https://genome.ucsc.edu/h/GCA_018398765.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/018/398/765/GCA_018398765.1/genes/GCA_018398765.1_ASM1839876v1.augustus.gtf.gz
Vitrella brassicaformis CCMP3155	GenBank	GCA_001179505.1	yes	0	1064	0	Vitrella brassicaformis	CCMP3155	CryptoDB	1169540	GCA_001179505.1_Vbrassicaformis	GCA_001179505.1		False	Vitrella brassicaformis CCMP3155	V.brassicaformis CCMP3155 (2015)	https://genome.ucsc.edu/h/GCA_001179505.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/001/179/505/GCA_001179505.1/genes/GCA_001179505.1_Vbrassicaformis.augustus.gtf.gz
Penicillium digitatum Pd1	INSDC	GCF_000315645.1	yes	0	53	0	Penicillium digitatum	Pd1	FungiDB	1170230	GCF_000315645.1_PdigPd1_v1	GCA_000315645.2	GCF_000315645.1	False	Penicillium digitatum Pd1	ascomycetes P.digitatum (Pd1 2012 refseq)	https://genome.ucsc.edu/h/GCF_000315645.1	https://hgdownload.soe.ucsc.edu/hubs/GCF/000/315/645/GCF_000315645.1/genes/GCF_000315645.1_PdigPd1_v1.ncbiRefSeq.gtf.gz
Encephalitozoon romaleae SJ-2008	GenBank	GCA_000280035.2	yes	0	0	13	Encephalitozoon romaleae	SJ-2008	MicrosporidiaDB	1178016	GCF_000280035.1_ASM28003v2	GCA_000280035.2	GCF_000280035.1	True	Encephalitozoon romaleae SJ-2008	microsporidians E.romaleae SJ-2008	https://genome.ucsc.edu/h/GCF_000280035.1	
Cladophialophora psammophila CBS 110553	INSDC	GCA_000585535.1	yes	0	123	0	Cladophialophora psammophila	CBS 110553	FungiDB	1182543	GCF_000585535.1_Clad_psam_CBS_110553_V1	GCA_000585535.1	GCF_000585535.1	True	Cladophialophora psammophila CBS 110553	ascomycetes C.psammophila CBS 110553	https://genome.ucsc.edu/h/GCF_000585535.1	
Cladophialophora yegresii CBS 114405	INSDC	GCA_000585515.1	yes	0	8	0	Cladophialophora yegresii	CBS 114405	FungiDB	1182544	GCF_000585515.1_Clad_yegr_CBS_114405_V1	GCA_000585515.1	GCF_000585515.1	True	Cladophialophora yegresii CBS 114405	ascomycetes C.yegresii CBS 114405	https://genome.ucsc.edu/h/GCF_000585515.1	
Exophiala aquamarina CBS 119918	INSDC	GCA_000709125.1	yes	0	151	0	Exophiala aquamarina	CBS 119918	FungiDB	1182545	GCF_000709125.1_Exop_aqua_CBS_119918_V1	GCA_000709125.1	GCF_000709125.1	True	Exophiala aquamarina CBS 119918	ascomycetes E.aquamarina CBS 119918	https://genome.ucsc.edu/h/GCF_000709125.1	
Trichosporon asahii var. asahii CBS 2479	INSDC	GCA_000293215.1	yes	0	77	0	Trichosporon asahii	var. asahii CBS 2479	FungiDB	1186058	GCF_000293215.1_Trichosporon_asahii_1	GCA_000293215.1	GCF_000293215.1	True	Trichosporon asahii var. asahii CBS 2479	basidiomycetes T.asahii var. asahii CBS 2479	https://genome.ucsc.edu/h/GCF_000293215.1	
Toxoplasma gondii CtCo5	GenBank	GCA_000278365.1	no	6177	0	0	Toxoplasma gondii	CtCo5	ToxoDB	1194599	GCA_000278365.1_ASM27836v1	GCA_000278365.1		False	Toxoplasma gondii CtCo5	apicomplexans T.gondii (CtCo5 2012)	https://genome.ucsc.edu/h/GCA_000278365.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/278/365/GCA_000278365.1/genes/GCA_000278365.1_ASM27836v1.augustus.gtf.gz
Verticillium dahliae JR2	INSDC	GCA_000400815.2	yes	0	0	8	Verticillium dahliae	JR2	FungiDB	1202531	GCA_000400815.2_VDAG_JR2v.4.0	GCA_000400815.2		False	Verticillium dahliae JR2	ascomycetes V.dahliae (JR2 2014)	https://genome.ucsc.edu/h/GCA_000400815.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/400/815/GCA_000400815.2/genes/GCA_000400815.2_VDAG_JR2v.4.0.augustus.gtf.gz
Leishmania aethiopica L147	GenBank	GCA_000444285.2	yes	0	124	36	Leishmania aethiopica	L147	TriTrypDB	1206056	GCA_000444285.2_Leishmania_aethiopica-L147-2.0.3	GCA_000444285.2		False	Leishmania aethiopica L147	Leishmania aethiopica (L147 2016)	https://genome.ucsc.edu/h/GCA_000444285.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/444/285/GCA_000444285.2/genes/GCA_000444285.2_Leishmania_aethiopica-L147-2.0.3.augustus.gtf.gz
Leishmania tropica L590	GenBank	GCA_000410715.1	yes	0	124	36	Leishmania tropica	L590	TriTrypDB	1206058	GCA_000410715.1_Leishmania_tropica_L590-2.0.2	GCA_000410715.1		False	Leishmania tropica L590	Leishmania tropica (L590 2013)	https://genome.ucsc.edu/h/GCA_000410715.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/410/715/GCA_000410715.1/genes/GCA_000410715.1_Leishmania_tropica_L590-2.0.2.augustus.gtf.gz
Trypanosoma cruzi Tula cl2	GenBank	GCA_000365225.1	no	43931	1780	0	Trypanosoma cruzi	Tula cl2	TriTrypDB	1206070	GCA_000365225.1_Trypanosoma_cruzi_Tula_cl2-1.0.1	GCA_000365225.1		False	Trypanosoma cruzi Tula cl2	Trypanosoma cruzi (Tula cl2 2013)	https://genome.ucsc.edu/h/GCA_000365225.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/365/225/GCA_000365225.1/genes/GCA_000365225.1_Trypanosoma_cruzi_Tula_cl2-1.0.1.augustus.gtf.gz
Toxoplasma gondii RH-88	INSDC	GCA_013099955.1	no	0	183	13	Toxoplasma gondii	RH-88	ToxoDB	5811	GCA_013099955.1_tgrh88	GCA_013099955.1		False	Toxoplasma gondii	apicomplexans T.gondii (RH-88 2020)	https://genome.ucsc.edu/h/GCA_013099955.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/013/099/955/GCA_013099955.1/genes/GCA_013099955.1_tgrh88.augustus.gtf.gz
Pneumocystis jirovecii SE8	GenBank	GCA_000333975.2	yes	0	328	0	Pneumocystis jirovecii	SE8	FungiDB	42068	GCA_000333975.2_ASM33397v2	GCA_000333975.2		False	Pneumocystis jirovecii	ascomycetes P.jirovecii (SE8 2012)	https://genome.ucsc.edu/h/GCA_000333975.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/333/975/GCA_000333975.2/genes/GCA_000333975.2_ASM33397v2.augustus.gtf.gz
Cyphellophora europaea CBS 101466	GenBank	GCA_000365145.2	yes	0	19	0	Cyphellophora europaea	CBS 101466	FungiDB	1220924	GCF_000365145.1_Phia_euro_CBS_101466_V1	GCA_000365145.2	GCF_000365145.1	True	Cyphellophora europaea CBS 101466	ascomycetes C.europaea CBS 101466	https://genome.ucsc.edu/h/GCF_000365145.1	
Mucor circinelloides 1006PhL	GenBank	GCA_000401635.1	yes	0	470	0	Mucor circinelloides	1006PhL	FungiDB	1220926	GCA_000401635.1_Muco_sp_1006Ph_V1	GCA_000401635.1		False	Mucor circinelloides 1006PhL	fungi M.circinelloides (1006PhL 2013)	https://genome.ucsc.edu/h/GCA_000401635.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/401/635/GCA_000401635.1/genes/GCA_000401635.1_Muco_sp_1006Ph_V1.augustus.gtf.gz
Pythium aphanidermatum DAOM BR444	GenBank	GCA_000387445.2	yes	0	1774	0	Pythium aphanidermatum	DAOM BR444	FungiDB	1223555	GCA_000387445.2_pag1_scaffolds_v1	GCA_000387445.2		False	Pythium aphanidermatum DAOM BR444	oomycetes (DAOM BR444 2013)	https://genome.ucsc.edu/h/GCA_000387445.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/387/445/GCA_000387445.2/genes/GCA_000387445.2_pag1_scaffolds_v1.augustus.gtf.gz
Pythium arrhenomanes ATCC 12531	GenBank	GCA_000387505.2	yes	0	10972	0	Pythium arrhenomanes	ATCC 12531	FungiDB	1223556	GCA_000387505.2_par_scaffolds_v1	GCA_000387505.2		False	Pythium arrhenomanes ATCC 12531	oomycetes (ATCC 12531 2013)	https://genome.ucsc.edu/h/GCA_000387505.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/387/505/GCA_000387505.2/genes/GCA_000387505.2_par_scaffolds_v1.augustus.gtf.gz
Globisporangium irregulare DAOM BR486	GenBank	GCA_000387425.2	yes	0	5887	0	Globisporangium irregulare	DAOM BR486	FungiDB	1223557	GCA_000387425.2_pir_scaffolds_v1	GCA_000387425.2		False	Globisporangium irregulare DAOM BR486	oomycetes (DAOM BR486 2013)	https://genome.ucsc.edu/h/GCA_000387425.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/387/425/GCA_000387425.2/genes/GCA_000387425.2_pir_scaffolds_v1.augustus.gtf.gz
Globisporangium iwayamae DAOM BR242034	GenBank	GCA_000387465.2	yes	0	11542	0	Globisporangium iwayamae	DAOM BR242034	FungiDB	1223558	GCA_000387465.2_piw_scaffolds_v1	GCA_000387465.2		False	Globisporangium iwayamae DAOM BR242034	oomycetes (DAOM BR242034 2013)	https://genome.ucsc.edu/h/GCA_000387465.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/387/465/GCA_000387465.2/genes/GCA_000387465.2_piw_scaffolds_v1.augustus.gtf.gz
Globisporangium ultimum var. sporangiiferum BR650	GenBank	GCA_000387525.2	no	0	5482	0	Globisporangium ultimum	var. sporangiiferum BR650	FungiDB	1223559	GCA_000387525.2_pug3_scaffolds_v1	GCA_000387525.2		False	Globisporangium ultimum var. sporangiiferum BR650	oomycetes (DAOM BR650 2013)	https://genome.ucsc.edu/h/GCA_000387525.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/387/525/GCA_000387525.2/genes/GCA_000387525.2_pug3_scaffolds_v1.augustus.gtf.gz
Phytopythium vexans DAOM BR484	GenBank	GCA_000387545.2	yes	0	3685	0	Phytopythium vexans	DAOM BR484	FungiDB	1223560	GCA_000387545.2_pve_scaffolds_v1	GCA_000387545.2		False	Phytopythium vexans DAOM BR484	oomycetes (DAOM BR484 2013)	https://genome.ucsc.edu/h/GCA_000387545.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/387/545/GCA_000387545.2/genes/GCA_000387545.2_pve_scaffolds_v1.augustus.gtf.gz
Fusarium proliferatum ET1	GenBank	GCA_900067095.1	yes	32	0	0	Fusarium proliferatum	ET1	FungiDB	1227346	GCF_900067095.1_F._proliferatum_ET1_version_1	GCA_900067095.1	GCF_900067095.1	True	Fusarium proliferatum ET1	ascomycetes F.proliferatum ET1	https://genome.ucsc.edu/h/GCF_900067095.1	
Fusarium oxysporum f. sp. cubense race 1	GenBank	GCA_000350345.1	no	0	1341	0	Fusarium oxysporum	f. sp. cubense race 1	FungiDB	1229664	GCA_000350345.1_Foc1_1.0	GCA_000350345.1		False	Fusarium oxysporum f. sp. cubense race 1	ascomycetes F.oxysporum f. sp. cubense (race 1 2013)	https://genome.ucsc.edu/h/GCA_000350345.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/350/345/GCA_000350345.1/genes/GCA_000350345.1_Foc1_1.0.augustus.gtf.gz
Malassezia sympodialis ATCC 42132	INSDC	GCA_900149145.1	yes	0	0	8	Malassezia sympodialis	ATCC 42132	FungiDB	1230383	GCA_900149145.1_Msy_ATCC_42132_Feb2016	GCA_900149145.1		False	Malassezia sympodialis ATCC 42132	basidiomycetes M.sympodialis (ATCC 42132 2017)	https://genome.ucsc.edu/h/GCA_900149145.1	https://hgdownload.soe.ucsc.edu/hubs/GCA/900/149/145/GCA_900149145.1/genes/GCA_900149145.1_Msy_ATCC_42132_Feb2016.augustus.gtf.gz
Plasmodium inui San Antonio 1	GenBank	GCA_000524495.1	yes	0	323	0	Plasmodium inui	San Antonio 1	PlasmoDB	1237626	GCF_000524495.1_Plas_inui_San_Antonio_1_V1	GCA_000524495.1	GCF_000524495.1	True	Plasmodium inui San Antonio 1	apicomplexans P.inui (San Antonio 1 2014)	https://genome.ucsc.edu/h/GCF_000524495.1	
Anncaliia algerae PRA109	GenBank	GCA_000385855.2	yes	0	7113	0	Anncaliia algerae	PRA109	MicrosporidiaDB	1240240	GCA_000385855.2_Annc_alge_PRA109_V4	GCA_000385855.2		False	Anncaliia algerae PRA109	microsporidians A.algerae (PRA109 2014)	https://genome.ucsc.edu/h/GCA_000385855.2	https://hgdownload.soe.ucsc.edu/hubs/GCA/000/385/855/GCA_000385855.2/genes/GCA_000385855.2_Annc_alge_PRA109_V4.augustus.gtf.gz
